,DOI,isotherm_file,temp_C,adsorbent,CO2_capacity (mmol/g)
133,10.1002/Aic.14467,10.1002Aic.14467.Isotherm97.json,40,ZIF-8,0.033103495975484856
134,10.1002/aic.690461017,10.1002aic.690461017.isotherm1.json,32,Carbon,0.010336825005815217
135,10.1002/aic.690461017,10.1002aic.690461017.isotherm2.json,36,Carbon,0.0100623283129677
136,10.1002/aic.690461017,10.1002aic.690461017.isotherm3.json,40,Carbon,0.009658103890334216
137,10.1002/aic.690461017,10.1002aic.690461017.isotherm4.json,45,Carbon,0.009234884626346586
138,10.1002/aic.690461017,10.1002aic.690461017.isotherm5.json,35,Carbon,0.000779768767716661
139,10.1002/aic.690461017,10.1002aic.690461017.isotherm6.json,45,Carbon,0.0005267802862471535
140,10.1002/aic.690461017,10.1002aic.690461017.isotherm7.json,55,Carbon,0.00045391169753676737
141,10.1002/aic.690470520,10.1002aic.690470520.Isotherm1.json,20,Zeolite NaX,3.1620268193930117
142,10.1002/aic.690470520,10.1002aic.690470520.Isotherm6.json,20,Zeolite NaX,3.188702163579168
143,10.1002/ange.201501718,10.1002ange.201501718.Isotherm2.json,0,PKU-17,0.05749438803100775
146,10.1002/anie.200604353,10.1002anie.200604353.Isotherm19.json,-78,MAMS-1,1.583526636628803
147,10.1002/anie.200604353,10.1002anie.200604353.Isotherm20.json,-78,MAMS-1,0.09972653322106245
150,10.1002/anie.200702324,10.1002anie.200702324.Isotherm3.json,25,C384H192N48O96Tb16,0.03542360881216518
151,10.1002/anie.200702324,10.1002anie.200702324.Isotherm4.json,25,C384H192N48O96Tb16,0.03793648349591361
189,10.1002/anie.201102329,10.1002anie.201102329.Isotherm11.json,25,C16H10CuN4O4,0.22653304377952224
190,10.1002/anie.201102329,10.1002anie.201102329.Isotherm12.json,25,C16H10CuN4O4,0.18877629269096463
191,10.1002/anie.201102329,10.1002anie.201102329.Isotherm13.json,0,C16H10CuN4O4,1.1455720682620538
192,10.1002/anie.201102329,10.1002anie.201102329.Isotherm14.json,0,C16H10CuN4O4,1.3415231181724372
193,10.1002/anie.201102329,10.1002anie.201102329.Isotherm15.json,25,C16H10CuN4O4,0.4669812428275127
194,10.1002/anie.201102329,10.1002anie.201102329.Isotherm16.json,50,C16H10CuN4O4,0.20850748577335074
